n,input 0,input 1
0,6,5
1,7,6
2,8,7
3,9,8
4,10,9
5,11,10
6,12,11
7,13,12
8,14,13
9,15,14
10,16,15
11,17,16
12,18,17
13,19,18
14,20,19
15,21,20
16,22,21
17,23,22
18,24,23
19,25,24
20,26,25
21,27,26
22,28,27
23,29,28
24,30,29
25,31,30
26,32,31
27,33,32
28,34,33
29,35,34
30,36,35
31,37,36
32,38,37
33,39,38
34,40,39
35,41,40
36,42,41
37,43,42
38,44,43
39,45,44
40,46,45
41,47,46
42,48,47
43,49,48
44,50,49
45,51,50
46,52,51
47,53,52
48,54,53
49,55,54
50,56,55
51,57,56
52,58,57
53,59,58
54,60,59
55,61,60
56,62,61
57,63,62
58,64,63
59,65,64
60,66,65
61,67,66
62,68,67
63,69,68
64,70,69
65,71,70
66,72,71
67,73,72
68,74,73
69,75,74
70,76,75
71,77,76
72,78,77
73,79,78
74,80,79
75,81,80
76,82,81
77,83,82
78,84,83
79,85,84
80,86,85
81,87,86
82,88,87
83,89,88
84,90,89
85,91,90
86,92,91
87,93,92
88,94,93
89,95,94
90,96,95
91,97,96
92,98,97
93,99,98
94,100,99
95,101,100
96,102,101
97,103,102
98,104,103
99,105,104
