n,input 0,input 1,input 2,input 3
0,4,4,4,3
1,5,5,10,6
2,6,6,13,10
3,7,7,21,15
4,8,8,26,21
5,9,9,36,28
6,10,10,43,36
7,11,11,55,45
8,12,12,64,55
9,13,13,78,66
10,14,14,89,78
11,15,15,105,91
12,16,16,118,105
13,17,17,136,120
14,18,18,151,136
15,19,19,171,153
16,20,20,188,171
17,21,21,210,190
18,22,22,229,210
19,23,23,253,231
20,24,24,274,253
21,25,25,300,276
22,26,26,323,300
23,27,27,351,325
24,28,28,376,351
25,29,29,406,378
26,30,30,433,406
27,31,31,465,435
28,32,32,494,465
29,33,33,528,496
30,34,34,559,528
31,35,35,595,561
32,36,36,628,595
33,37,37,666,630
34,38,38,701,666
35,39,39,741,703
36,40,40,778,741
37,41,41,820,780
38,42,42,859,820
39,43,43,903,861
40,44,44,944,903
41,45,45,990,946
42,46,46,1033,990
43,47,47,1081,1035
44,48,48,1126,1081
45,49,49,1176,1128
46,50,50,1223,1176
47,51,51,1275,1225
48,52,52,1324,1275
49,53,53,1378,1326
50,54,54,1429,1378
51,55,55,1485,1431
52,56,56,1538,1485
53,57,57,1596,1540
54,58,58,1651,1596
55,59,59,1711,1653
56,60,60,1768,1711
57,61,61,1830,1770
58,62,62,1889,1830
59,63,63,1953,1891
60,64,64,2014,1953
61,65,65,2080,2016
62,66,66,2143,2080
63,67,67,2211,2145
64,68,68,2276,2211
65,69,69,2346,2278
66,70,70,2413,2346
67,71,71,2485,2415
68,72,72,2554,2485
69,73,73,2628,2556
70,74,74,2699,2628
71,75,75,2775,2701
72,76,76,2848,2775
73,77,77,2926,2850
74,78,78,3001,2926
75,79,79,3081,3003
76,80,80,3158,3081
77,81,81,3240,3160
78,82,82,3319,3240
79,83,83,3403,3321
80,84,84,3484,3403
81,85,85,3570,3486
82,86,86,3653,3570
83,87,87,3741,3655
84,88,88,3826,3741
85,89,89,3916,3828
86,90,90,4003,3916
87,91,91,4095,4005
88,92,92,4184,4095
89,93,93,4278,4186
90,94,94,4369,4278
91,95,95,4465,4371
92,96,96,4558,4465
93,97,97,4656,4560
94,98,98,4751,4656
95,99,99,4851,4753
96,100,100,4948,4851
97,101,101,5050,4950
98,102,102,5149,5050
99,103,103,5253,5151
