n,input 0,input 1,input 2
0,2,4,15
1,3,5,40
2,4,6,77
3,5,7,126
4,6,8,187
5,7,9,260
6,8,10,345
7,9,11,442
8,10,12,551
9,11,13,672
10,12,14,805
11,13,15,950
12,14,16,1107
13,15,17,1276
14,16,18,1457
15,17,19,1650
16,18,20,1855
17,19,21,2072
18,20,22,2301
19,21,23,2542
20,22,24,2795
21,23,25,3060
22,24,26,3337
23,25,27,3626
24,26,28,3927
25,27,29,4240
26,28,30,4565
27,29,31,4902
28,30,32,5251
29,31,33,5612
30,32,34,5985
31,33,35,6370
32,34,36,6767
33,35,37,7176
34,36,38,7597
35,37,39,8030
36,38,40,8475
37,39,41,8932
38,40,42,9401
39,41,43,9882
40,42,44,10375
41,43,45,10880
42,44,46,11397
43,45,47,11926
44,46,48,12467
45,47,49,13020
46,48,50,13585
47,49,51,14162
48,50,52,14751
49,51,53,15352
50,52,54,15965
51,53,55,16590
52,54,56,17227
53,55,57,17876
54,56,58,18537
55,57,59,19210
56,58,60,19895
57,59,61,20592
58,60,62,21301
59,61,63,22022
60,62,64,22755
61,63,65,23500
62,64,66,24257
63,65,67,25026
64,66,68,25807
65,67,69,26600
66,68,70,27405
67,69,71,28222
68,70,72,29051
69,71,73,29892
70,72,74,30745
71,73,75,31610
72,74,76,32487
73,75,77,33376
74,76,78,34277
75,77,79,35190
76,78,80,36115
77,79,81,37052
78,80,82,38001
79,81,83,38962
80,82,84,39935
81,83,85,40920
82,84,86,41917
83,85,87,42926
84,86,88,43947
85,87,89,44980
86,88,90,46025
87,89,91,47082
88,90,92,48151
89,91,93,49232
90,92,94,50325
91,93,95,51430
92,94,96,52547
93,95,97,53676
94,96,98,54817
95,97,99,55970
96,98,100,57135
97,99,101,58312
98,100,102,59501
99,101,103,60702
