n,input 0,input 1,input 2,input 3
0,14,6,6,6
1,25,16,6,12
2,38,28,6,15
3,53,42,6,18
4,70,58,6,21
5,89,76,6,24
6,110,96,6,27
7,133,118,6,30
8,158,142,6,33
9,185,168,6,36
10,214,196,6,39
11,245,226,6,42
12,278,258,6,45
13,313,292,6,48
14,350,328,6,51
15,389,366,6,54
16,430,406,6,57
17,473,448,6,60
18,518,492,6,63
19,565,538,6,66
20,614,586,6,69
21,665,636,6,72
22,718,688,6,75
23,773,742,6,78
24,830,798,6,81
25,889,856,6,84
26,950,916,6,87
27,1013,978,6,90
28,1078,1042,6,93
29,1145,1108,6,96
30,1214,1176,6,99
31,1285,1246,6,102
32,1358,1318,6,105
33,1433,1392,6,108
34,1510,1468,6,111
35,1589,1546,6,114
36,1670,1626,6,117
37,1753,1708,6,120
38,1838,1792,6,123
39,1925,1878,6,126
40,2014,1966,6,129
41,2105,2056,6,132
42,2198,2148,6,135
43,2293,2242,6,138
44,2390,2338,6,141
45,2489,2436,6,144
46,2590,2536,6,147
47,2693,2638,6,150
48,2798,2742,6,153
49,2905,2848,6,156
50,3014,2956,6,159
51,3125,3066,6,162
52,3238,3178,6,165
53,3353,3292,6,168
54,3470,3408,6,171
55,3589,3526,6,174
56,3710,3646,6,177
57,3833,3768,6,180
58,3958,3892,6,183
59,4085,4018,6,186
60,4214,4146,6,189
61,4345,4276,6,192
62,4478,4408,6,195
63,4613,4542,6,198
64,4750,4678,6,201
65,4889,4816,6,204
66,5030,4956,6,207
67,5173,5098,6,210
68,5318,5242,6,213
69,5465,5388,6,216
70,5614,5536,6,219
71,5765,5686,6,222
72,5918,5838,6,225
73,6073,5992,6,228
74,6230,6148,6,231
75,6389,6306,6,234
76,6550,6466,6,237
77,6713,6628,6,240
78,6878,6792,6,243
79,7045,6958,6,246
80,7214,7126,6,249
81,7385,7296,6,252
82,7558,7468,6,255
83,7733,7642,6,258
84,7910,7818,6,261
85,8089,7996,6,264
86,8270,8176,6,267
87,8453,8358,6,270
88,8638,8542,6,273
89,8825,8728,6,276
90,9014,8916,6,279
91,9205,9106,6,282
92,9398,9298,6,285
93,9593,9492,6,288
94,9790,9688,6,291
95,9989,9886,6,294
96,10190,10086,6,297
97,10393,10288,6,300
98,10598,10492,6,303
99,10805,10698,6,306
